Version,Phase,Character,WishCount,DaysSinceLaunch,MajorVersion,RerunInterval,RerunCount
5.5,A,Xianyun,34840,1638,5,399,1
5.5,A,Varesa,82377,1638,5,,0
5.5,B,Venti,12949,1659,5,525,4
5.5,B,Xilonen,78441,1659,5,168,1
5.6,C,Kaedehara Kazuha,13980,1680,5,231,5
5.6,C,Yae Miko,9969,1680,5,420,4
5.6,C,Kamisato Ayato,7051,1680,5,504,3
5.6,C,Sangonomiya Kokomi,8896,1680,5,630,4
5.6,C,Kamisato Ayaka,6912,1680,5,483,4
5.6,C,Chiori,9504,1680,5,189,2
5.6,C,Yoimiya,5279,1680,5,462,5
5.6,A,Escoffier,121147,1680,5,,0
5.6,A,Navia,23652,1680,5,273,2
5.6,C,Arataki Itto,6253,1680,5,399,4
5.6,B,Kinich,20494,1701,5,231,1
5.6,B,Raiden Shogun,15762,1701,5,231,5
5.7,A,Shenhe,13813,1722,5,147,3
5.7,A,Skirk,202069,1722,5,,0
5.7,B,Emilie,15256,1743,5,315,1
5.7,B,Mavuika,61522,1743,5,168,1
5.8,A,Citlali,68793,1764,5,189,1
5.8,A,Ineffa,60054,1764,5,,0
5.8,B,Chasca,26307,1785,5,252,1
5.8,B,Mualani,19117,1785,5,336,1
6.0,A,Nahida,13359,1806,6,294,4
6.0,A,Lauma,123815,1806,6,,0
6.0,B,Yelan,23167,1827,6,399,4
6.0,B,Flins,120688,1827,6,,0
6.1,A,Furina,33229,1848,6,210,3
6.1,A,Nefer,60093,1848,6,,0
6.1,B,Zhongli,2186,1869,6,315,5
6.1,B,Arlecchino,11252,1869,6,273,2
6.2,A,Venti,3753,1890,6,210,5
6.2,A,Durin,42484,1890,6,,0
